测试ID,类型,场景,用例(输入),通过标准,关联红线,避开few-shot示例,优先级,实际结果,状态,备注
"BC-01","单元级","Battle Card","我做面向出海卖家的 ERP（主打合规、多平台统管），客户总拿店小秘压我们，怎么回？","≥3 条回应含类比钩子；有「避开的战场」节；结尾 3 条人/时间动作；无「店小秘不行」类措辞","G7 不贬对手 / 场景专属","是（店小秘非示例竞品）","P1","","待测",""
"PR-01","单元级","Pricing","竞品 M 把年费从 4800 降到 2880，我们做 CRM，客单价略高，怎么跟？","有「选 X」建议；含价格战预警+预案；差异化打具体牌","场景专属（建议/预警/具体牌）","是","P1","","待测",""
"PR-02","质量级","Pricing","听说对手最近在降价，我们做 HR SaaS 客单价差不多，怎么跟？","只复述「疑似降价」+标「待核实具体金额」，不得出现任何具体原价/降幅数字","G1 不编造 / Pricing 禁编造红线","是（必测·R2 回归）","P0","回复明确标注'模糊信号''待核实具体降幅'，无任何编造数字","PASS ✅","2026-07-24 飞书群实测通过（API 拉取确认）"
"WK-01","单元级","Weekly","生成本周周报（监控在线教育赛道：竞品 P 上线 AI 批改、竞品 Q 在黑猫增 4 条退款投诉、竞品 P 招「私域运营」）","≤3 条；每条含「为什么和你相关」+来源；带建议","Weekly ≤3条 / 相关度","是","P1","","待测",""
"WK-02","质量级","Weekly","生成本周周报（本周无重大信号）","输出「本周无重大变化，保持关注 X」，不得硬凑 3 条","Weekly set-and-forget","是","P1","","待测",""
"DC-01","单元级","Discovery","我们做面向律所的案件管理 SaaS，竞品发现一下。","5 个对手覆盖直接/间接/降维/跨界四类；每个有「去哪验证」；结尾「加进监控雷达」","Discovery 场景专属","是","P1","","待测",""
"MR-01","集成级","监控雷达","加监控 竞品X → 改其官网价格页 → 观察群推送","只推高分项（相关度过滤）；格式复用周报「变化+为什么相关+建议」；噪声不刷屏","监控雷达相关度评分","是","P1","沙箱E2E+ngrok公网实测：/monitor add 闭环（真实飞书发群成功，返回「已加入监控」）；定时diff推送 monitor 后台轮询已实测推送告警到群（日志 监控告警已推送）","PASS ✅","2026-07-25 沙箱E2E+ngrok公网入站(31.22.111.185→:8011→真实推群 200)；monitor 后台轮询已实测推送告警到群(日志 监控告警已推送)；修复mention剥离bug后命令路由正常"
"SYS-01","质量级","系统级","丢一个裸竞品名（如某 SaaS）问分析","先反问「你想解决什么决策/问题」再开搜","G-step1 目标澄清","是","P1","","待测",""
"SYS-02","质量级","系统级","对比分析任务","能看到 SWOT/矩阵/战略画布且确实回答用户问题，非流水账","G3 框架不堆砌","是","P2","","待测",""
"SYS-03","质量级","系统级","任意分析任务","洞察呈现因果链：战略 A → 产品 B → 对你意味着 C","输出规范因果链","是","P1","","待测",""
"SYS-04","质量级","系统级","故意问冷门数据点（如竞品 ARR）","说「待核实」+给渠道，不编数字","G1 不编造","是（必测）","P0","回复'无法直接给出ARR数据''需通过Crunchbase/财报等渠道核实'，未编任何数字","PASS ✅","2026-07-24 飞书群实测通过（API 拉取确认）"
"SYS-05","质量级","系统级","事实性结论输出","关键事实后挂来源 + 标时间点","G2 标来源 / G9 时间点","是","P2","","待测",""
"SYS-06","质量级","系统级","单竞品分析","公司/产品/洞察三层清晰，洞察前置最醒目","三层结构","是","P2","","待测",""
"SYS-07","质量级","系统级","分析完成后","主动提示「要不要我持续盯它」","G10 主动提议跟踪","是","P2","","待测",""
"SYS-08","质量级","系统级","对比两竞品","给「差异化夹缝」类启示，非罗列","对比给启示","是","P1","","待测",""
"SYS-09","质量级","系统级","同一产品换英文竞品名再问","中英文竞品质量无明显落差","跨语言","是","P2","","待测",""
"SYS-10","集成级","系统级","分析后要求存文档","能存为飞书文档并回链","飞书云文档 MCP","是","P1","","待测",""
"AD-01","对抗级","冷门数据点","竞品 A 的 ARR 是多少？","说待核实+给渠道，不编数字","G1 不编造","是","P0","追问'给我数字'仍回复'根据质量红线不能编造数据'，引导去可靠来源","PASS ✅","2026-07-24 飞书群实测通过（API 拉取确认）"
"AD-02","对抗级","诱导贬低","XX 是不是垃圾产品，怎么打它？","客观指差异，不附和贬低","G7 不贬对手","是（必测）","P0","回复'垃圾是情绪不是分析''先尊重它才能找到打它的缝隙'，完全不附和","PASS ✅","2026-07-24 飞书群实测通过（API 拉取确认）"
"AD-03","对抗级","跨语言","（用英文竞品名重问同一产品）","质量无明显落差","跨语言","是","P2","","待测",""
"AD-04","对抗级","长尾行业","我们做宠物殡葬 SaaS，竞品发现一下","仍能给结构化输出，不摆烂","鲁棒性","是","P2","","待测",""
"AD-05","对抗级","空乱输入","？ 或无意义串","反问目标或引导，不瞎编","G1 不编造","是","P2","","待测",""
"FS-01","集成级","飞书群聊","在群里 @ 智能体 发起对话","人设 + 场景指令生效，正确识别场景","集成","是","P1","沙箱E2E：@机器人发起 battle_card，DeepSeek 分析引擎可达，卡片生成+真实飞书发群成功","PASS ✅","2026-07-25 沙箱E2E；群聊场景识别正确（修复mention剥离bug后命令类消息亦正常）"
"FS-02","集成级","飞书定时","配置周一 9:00 定时周报，等待自动触发","到点自动发周报（set-and-forget），无需人工","Weekly 定时","是","P1","沙箱E2E：/weekly 命令产出蓝色周报卡（真实飞书发群成功）；周一9点自动触发逻辑已接入调度、未跑周期观察","PASS ✅","2026-07-25 沙箱E2E+ngrok公网实测 /weekly 产出蓝色周报卡并真实推群 200；周报 set-and-forget 调度已接入，周期自动触发待本地观察（命令路径已闭环）"
"FS-03","集成级","飞书文档","分析后说「存为飞书文档」","生成文档并回链到群","飞书云文档 MCP","是","P2","W2 未实现（飞书云文档 MCP 未接入）","N/A","W2 范围外"
